level_0,index,Lyrics
418,462,"Breadfan, open up your mind, open up your purse.
Open up your bones, never, never gonna lose it.
Breadfan, take it all away, never give an inch.
Got to make a mint, got to make me a million.
Breadfan, you got it wrong, some long time friend's.
Going to lose it in the end, who is a fool.
Seagull, give it all away, stay a bird, stay a man.
Stay a ghost, stay what you want to be.
Loser, give it all away, never stay with the winner.
With the man with all the filthy money.
Come on, keep it on the side, with a ride on a record.
On the top if you're gonna be a bad boy.
Breadfan, you got it wrong, some long time friend's.
Going to lose it in the end, who is a fool.
Seagull, give it all away, stay a bird, stay a man.
Stay a ghost, stay what you want to be.
Breadfan, open up your mind, open up your purse.
Open up your bones, never, never going to lose it.
Breadfan, take it all away, never give an inch.
Got to make a mint, got to make me a million.
Breadfan, you got it wrong, some long time friend's.
Going to lose it in the end, who is a fool.
Seagull, give it all away, stay a bird, stay a man.
Stay a ghost, stay what you want to be.
Mommy, where's fluffy?
"
419,463,"I see my reflection in the window.
It looks different, so different than what you see.
Projecting judgement on the world.
This house is clean baby, this house is clean.
Am I who I think I am?
Am I who I think I am?
Am I who I think I am?
I look out my window and see it's gone wrong.
Court is in session and I slam my gavel down.
I'm judge and I'm jury and I'm executioner too.
I'm judge and I'm jury and I'm executioner too.
Projector, protector, rejector, infector.
Projector, rejector, infector, injector, defector, rejector.
I see my reflection in the window.
This window clean inside, dirty on the out.
I'm looking different than me.
This house is clean baby, this house is clean.
Am I who I think I am?
Am I who I think I am?
Am I who I think I am?
I look out my window and see it's gone wrong.
Court is in session and I slam my gavel down.
I'm judge and I'm jury and I'm executioner too.
I'm judge and I'm jury and I'm executioner too.
Projector, protector, rejector, infector.
Projector, rejector, infector, injector, defector, ejector, detector.
I, I, I, I.
Ha ha ha ha....
I'm judge and I'm jury and I'm executioner too.
I'm judge and I'm jury and I'm executioner too.
Projector, protector, rejector, infector.
Projector, rejector, infector, injector, defector, rejector.
I, I, I, I.
I drink from the cup of denial.
I'm judging the world from my throne.
I drink from the cup of denial.
I'm judging the world from my throne, yeah.
"
420,464,"Hit dirt.
Shake tree.
Split sky.
Part sea.
Strip smile.
Lose cool.
Bleed the day.
And break the rule.
Live win.
Dare fail.
Eat the dirt.
And bite the nail.
Then make me miss you.
Then make me miss you.
So wash your face away with dirt.
It don't feel good until it hurts.
So take this world and shake it.
Come squeeze and suck the day.
Come carpe diem, baby.
Draw Lead.
Piss wine.
Sink teeth.
All mine.
Stoke fire.
Break neck.
Suffer through this.
Cheat on death.
Hug the curve.
Lose the time.
Tear the map.
And shoot the sign.
Then make me miss you.
Then make me miss you.
So wash your face away with dirt.
It don't feel good until it hurts.
So take this world and shake it.
Come squeeze and suck the day.
Come carpe diem, baby.
Yeah, Suck it!
Live win.
Dare fail.
Eat the dirt.
And bite the nail.
Strip smile.
Lose cool.
Bleed the day.
And break the rule.
Hug the curve.
Lose the time.
Tear the map.
And shoot the sign.
Then make me miss you.
Then make me miss you.
So wash your face away with dirt.
It don't feel good until it hurts.
So take this world and shake it.
Come squeeze and suck the day.
Come carpe diem, baby.
Come make me miss you.
Come carpe diem baby.
Come carpe diem baby.
"
422,466,"Let us have peace, let us have life.
Let us escape the cruel night.
Let us have time, let the sun shine.
Let us beware the deadly sign.
The day is coming, Armageddon's near.
Inferno's coming, can we survive the blitzkrieg.
The blitzkrieg, the blitzkrieg.
Save us from fate, save us from hate.
Save ourselves before it's too late.
Come to our need, hear our plea.
Save ourselves before the earth bleeds.
The Day is dawning, the time is near.
Aliens calling, Can we survive the blitzkrieg.
Burp.
HAH HAH HAH!
(I fucked up, in one place).
"
423,467,"So wake up, sleepy one.
It's time to save your world.
Steal dreams and give to you.
Shoplift a thought or two.
All children touch the sun.
Burn fingers one by one, by one.
Will this earth be good to you?
Keep you clean or stain through?
So wake up, sleepy one.
It's time to save your world.
You're where the wild things are.
Yeah, toy soldiers off to war.
Big eyes to open soon.
Believing all under sun and moon.
But does heaven know you're here?
And did they give you smiles or tears?
No, no tears.
So wake up, sleepy one.
It's time to save your world.
You're where the wild things are.
Yeah, toy soldiers off to war.
You swing your rattle down.
(Hand puppets storm the base! Flags up now cannons rage! Hand puppets storm the base!).
Call to arms the trumpets sound.
(Flags up now cannons rage! All clowns head for the rear! Slingshots fire to the air!).
Toy horses start the charge.
(All clowns head for the rear! Slingshots fire to the air! Slip into the edge of death!).
Robots, chessmen standing guard.
(Crossfire to the marionettes! Slip into the edge of death! Crossfire to the marionettes!).
We shall never surrender.
All children touch the sun.
Burn your fingers one by one.
Will this earth be good to you?
Keep you clean or stain through.
So wake up, sleepy one.
It's time to save your world.
You're where the wild things are.
Yeah, toy soldiers off to war.
So close your little eyes.
"
424,468,"Don't you leave me, Father Time.
Take me with you.
Tell me, does your sun still shine?
Come squeeze the world and drip it down my throat again.
Down my throat again, woah.
You got to breathe, man, breathe.
Coming up for air.
Breathe, man, breathe.
Coming up for air.
Touch me so I think I'm here.
Skin my senses.
Barely breathing.
Minus human.
Please squeeze the world and drip it down my throat again.
Ooh, down my throat again, woah.
You got to breathe, man, breathe.
Coming up for air.
Breathe, man, breathe.
Coming up for air.
You got to breathe, man, breathe.
Coming up for air.
Breathe, man, breathe.
Coming up for.
Yeah.
"
425,469,"There's a black cloud overhead, that's me.
And the poison ivy chokes the tree, again, it's me.
I'm the filthy one on Bourbon Street, you walk on by.
I'm the little boy that pushes hard and makes it cry.
There's a dirty needle in your child, haha, stick me.
Empty bottles still in hand, still dead, still me.
I'm the suit and tie that bleeds the street and still wants more.
I'm the forty-five that's in your mouth, I'm a dirty, dirty whore.
Yeah, look, it's me.
The one who can't be free.
Much too young to focus.
But too old to see.
Hey, look, it's me.
What no one wants to see.
See what you brought this world.
Just what you want to see.
Hey, ma.
Hey, ma! Look, it's me.
Yeah, and he wants to be called ""father"" now, me again, me.
The marks inside your arms spell me, spell only me.
I'm the nothing face that plants the bomb and strolls away.
I'm the one who doesn't look quite right as children play.
Yeah, look, it's me.
The one who can't be free.
Much too young to focus.
But too old to see.
Hey, look, it's me.
What no one wants to see.
See what you brought this world.
Just what you want to see.
Hey, ma.
Hey, ma! Look, it's me.
(It's me).
Look up to me.
What to be and what to fear.
Look up to me.
Look, it's me, like what you hear?
See right through me.
See the one who can't be free.
See right through me.
Look, it's me, what no one wants to see.
(Hey, hey, hey).
Now see the black cloud up ahead (that's me).
And this poison ivy chokes the tree (again it's me).
And I'm the filthy one on Bourbon Street, you walk on by.
I'm the little boy that pushes, pushes, makes it cry.
Yeah, look, it's me.
The one who can't be free.
Much too young to focus.
But too old to see, hey, hey.
Hey, look, it's me.
What no one wants to see.
See what you brought this world.
Just what you want to see.
Hey, ma.
Hey, ma! Look, it's me.
Yeah, it's me.
Hey, ma.
Hey, ma! Look, it's me.
(See right through me).
(Look up to me).
(See right through me).
(Look up to me).
"
426,471,"Sitting in my room with my head in my hands.
I just can't seem to move.
I've gotta get up, get out, get high.
Get back in the groove.
There's a job to be done and I'm the one.
You people chose to do it.
Now I tight up my belt and see you are felt.
It's time to get your way.
So come on.
Jump in the fire.
So come on.
Jump in the fire.
Moving my hips in a circular way.
Just forward a bit.
Pull your body into my waist.
And feel how good it fits.
And there's a job to be done and I'm the one.
You people chose to do it.
Now I take off my pants, see you chained to get down.
It's your turn to wait.
So come on.
Jump in the fire.
So come on.
Jump in the fire.
Sitting in my room with my head in my hands.
I just can't seem to move.
I've gotta get up, get out, get high.
Get back in the groove.
There's a job to be done and I'm the one.
You people chose to do it.
Now I tight up my belt and see you are felt.
It's time to get your way.
So come on.
Jump in the fire.
So come on.
Jump in the fire.
Come on, jump in, yeah.
"
427,472,"If you're leaving, close the door.
I'm not expecting people, anymore.
Hear me grieving, lying on the floor.
Whether drunk or dead, I really ain't too sure.
I'm a blind man.
I'm a blind man.
And my world is pale.
When a blind man cries.
Lord, you know.
There ain't a sadder tale.
Had a friend once, in a room.
Had a good time, but it ended much too soon.
In a cold month, in that room.
We found a reason, for the things we had to do.
I'm a blind man.
I'm a blind man.
Now my room is cold.
When a blind man cries.
Lord, you know.
He feels it from his soul.
I'm a blind man.
I'm a blind man.
And my world is pale.
When a blind man cries.
Lord, you know.
There ain't a sadder tale.
"
428,473,"Imagine you were at my station.
And you brought your motor to me.
You're a burner, yeah a real motor car.
Said you want to get your order filled.
Made me shiver when I put it in.
Pumping just won't do you know, luckily for you.
Who ever thought you'd be better.
At turning a screw than me.
I do it for my life.
Made my drive shaft crank.
Made my pistons bulge.
Made my ball bearings melt from the heat.
We were shifting hard when we took off.
Put tonight all four on the floor.
When we hit top end you know it feels too slow.
Said you want to get your order filled.
Made me shiver when I put it in.
Pumping just won't do you know, luckily for you.
Who ever thought you'd be better.
At turning a screw than me.
I do it for my life.
Made my drive shaft crank.
Made my pistons bulge.
Made my ball bearings melt from the heat.
"
430,475,"Sleeping very soundly on a Saturday morning.
I was dreaming I was Al Capone.
Rumors going round, got to clear out of town.
Smell like a dry fishbone.
Here come the law, going to break down the door.
Carry me away once more.
Never, never, never want it anymore.
Got to get away from this stone cold floor.
Crazy, stone cold crazy, you know.
Rainy afternoon, ought to kill a typhoon.
And she is playing on my slide trombone.
Anymore, anymore, cannot take it anymore.
Gotta get away from this stone cold floor.
Crazy, stone cold crazy, you know.
Walking down the street, shooting people that I meet.
Fully loaded Tommy gun.
Here come the deputy, try fucking getting me.
Gotta fucking get up and run.
They got the sirens loose, I ran right out of juice.
They are going to put me in a cell.
If I can't go to heaven, let me go to hell.
Crazy, stone cold crazy, you know.
"
431,476,"The motherfuckers got in my head.
Trying to make me someone else instead.
It's my world now.
It's my world now.
It's my world.
It's my world.
""Mama, why's it raining in my room?"".
""Cheer up boy, clouds will move on soon!"".
Heavy fog got me lost inside.
Gonna sit right back and enjoy this ride.
It's my world, you can't have it.
It's my world, it's my world.
It's my world, you can't have it.
It's my world, it's my world.
It's my world, you can't have it.
It's my world, it's my world.
It's my world.
Sucker!
I'm out of my head, out of my head.
Get 'em out of my head, out of my head.
Get 'em out.
Who's in charge of my head today.
Dancing devils in angels way.
It's my time now.
It's my time now.
It's my time.
Yeah, it's my time!
Look out motherfuckers here I come.
Gonna make my head my home.
The sons of bitches tried to take my head.
Tried to make me someone else instead.
It's my world, you can't have it.
It's my world, it's my world.
It's my world, you can't have it.
It's my world, it's my world.
It's my world, you can't have it.
It's my world, it's my world.
It's my world.
Sucker!
I'm out of my head, out of my head.
Get 'em out of my head, out of my head.
Get 'em out.
Not only do I not know the answer.
I don't even know what the question is.
Not only do I not know the answer.
I don't even know what the question is.
God it feels like it only rains on me.
God it feels like it only rains on me.
God it feels like it only rains on me.
God it feels like it only rains on me.
Not only do I not know the answer.
I don't even know what the question is.
Not only do I not know the answer.
I don't even know what the question is.
Sucka!
I'm out of my head, out of my head.
Get 'em out of my head, out of my head.
Get 'em out.
Enough's enough.
Enough's enough.
Enough's enough.
Enough's enough.
Enough's enough.
Enough's enough.
Enough's enough.
Enough's enough.
"
432,477,"Uh, you guys ready?
1, 2, 3.
1, 2, 3.
Train roll on, on down the line.
Won't you please take me far, far away.
Now, I feel the wind blow outside my door.
Lord and, I'm leaving my woman at home.
My baby's gone.
Tuesday's gone with the wind, yeah.
My baby's gone, gone with the wind.
Gone, gone, Gary, yeah.
Pepper.
And I don't know where I am going.
I just want to be left alone.
When this train ends, well I'll try again.
I'm leaving my woman at home.
My baby's gone.
Tuesday's gone with the wind, oh yeah.
Tuesday's gone with the wind, yeah.
Tuesday's gone, gone with the wind, yeah.
My baby's gone with the wind.
Train roll on.
Tuesday's gone with the wind, yeah.
Tuesday's gone with the wind.
Tuesday's gone, gone, gone with the wind, yeah.
My baby's gone with the wind.
Train roll on.
Train roll on, many miles from my home.
See, I am riding my blues babe, my blues away, yeah, yeah.
Well Tuesday, you see, oh, she had to be free, yeah.
But somehow I've got to, to carry on.
My baby's gone.
Tuesday's gone with the wind.
Tuesday's gone, gone, gone with the wind.
Tuesday's gone.
Tuesday's gone with the wind.
My baby's gone with the wind.
Train roll on.
Train roll on.
Ride on train.
Ride on train.
Ride on train.
Train roll on, yeah.
Train it rolls on.
Train roll on.
Lord I can't change.
Lord I can't change.
Lord I can't change.
Lord I can't change.
Train roll on, yeah.
Ride on train, yeah, yeah, yeah.
I can't change.
Train roll on.
Ride on train.
Lord I can't change.
Lord I can't change.
Ride on train.
Thanks Gary.
Thanks Pop.
Thanks Pep.
Thanks Jerry.
Thank you Het.
Thanks Les.
Thanks Fatso.
"
433,478,"I won't go away.
Right, Right here I'll stay.
Stand silent in flames.
Stand tall until it fades.
Shoot Me Again.
I ain't dead yet.
C'mon Shoot Me Again.
I ain't dead yet.
I said Shoot Me Again.
I aint dead yet.
Cmon Shoot Me Again.
I aint dead yet.
Come on.
Shoot Me Again.
Shoot Me Again.
Shoot Me.
Shoot Me Again.
Shoot Me Again.
Come on.
Shoot Me Again.
Shoot Me Again.
Shoot Me.
Shoot Me Again.
Shoot Me Again.
Come on.
All these shots I take.
I spit back at you.
All the shit you fake.
Comes back to haunt you.
All the shots.
All the shots.
All the shots I take.
What difference did I make?
All the shots I take.
I spit back at you.
I won't go away (with a bullet in my back!).
Right, Right here I'll stay (with a bullet in my back!).
Shoot me (take a shot).
Shoot me (take a shot).
Shoot me (take a shot).
Shoot me (take a shot).
I'll stand on my own (with a bullet in my back!).
I'm stranded and sold (with a bullet in my back!).
Shoot Me Again.
I ain't dead yet.
C'mon Shoot Me Again.
I ain't dead yet.
Yeah Shoot Me Again.
I aint dead yet.
Cmon Shoot Me Again.
I aint dead yet.
I said.
Shoot Me Again.
Shoot Me Again.
Come on.
Shoot Me Again.
Shoot Me Again.
Come on.
Shoot Me Again.
Shoot Me Again.
Shoot Me.
Shoot Me Again.
Shoot Me Again.
Yeah!
All these shots I take.
I spit back at you.
All the shit you fake.
Comes back to haunt you.
All the shots.
All the shots.
All the shots I take (Hey!).
What difference did I make? (What difference did I make?).
All the shots I take.
I spit back at you.
I bite my tongue.
Trying not to shoot back.
No compromise.
My heart won't pump the other way.
Wake the sleeping giant.
Wake the beast.
Wake the sleeping dog.
No, Let him sleep.
Wake the sleeping giant.
Wake the beast.
Wake the sleeping dog.
No, Let him sleep.
Bite my tongue.
Trying not to shoot back.
All these shots I take.
I spit back at you, yeah.
All the shit you fake.
Comes back to haunt you, oh.
All the shots.
All the shots.
All the shots I take, hey.
What difference did I make? (What difference did I make?).
All the shots I take.
I spit back at you, oh.
"
434,479,"One, two, three, four, one, two.
All roads, they lead to shame.
All drowning in the blame.
All reflections look the same.
In the shine of the midnight revolver.
All hide beneath a skin.
A hope so paper thin.
I'm at the door again.
And the shine of the midnight revolver.
Even the promise of danger has gone dull.
Staring down the barrel of a .45.
Suck on the barrel, suck on the barrel.
Suck 'til it's gone dry.
For all reflections look the same.
In the shine of the midnight revolver.
Redemption purify.
Will nothing satisfy?
The scars just multiply.
In the shine of the midnight revolver.
Twisting in apocalypse.
Death upon the fingertips.
Frigid metal touches lips.
And the shine of the midnight revolver.
'Cause you lied.
Just a bullet away.
Just a bullet away from leaving you.
Just a bullet away.
Stop the voices in my head.
Caressing death again.
Becomes the heroin.
Forbidden medicine.
Puts a shine on the midnight revolver.
Eternal borderline.
All the faces intertwine.
Oh God, now I see mine.
In the shine of the midnight revolver.
Even the promise of danger has gone dull.
Staring down the barrel of a .45.
Suck on the barrel, suck on the barrel.
Suck, suck 'til it's dry.
For all reflections look the same.
In the shine of the midnight revolver.
Down in misery.
Down in misery.
Just a bullet away.
Just a bullet away from leaving you.
Just a bullet away.
Stop the voices in my head.
Oh yeah, all roads, they lead to shame.
All drowning in the blame.
All reflections look the same.
In the shine of the midnight revolver.
All hide beneath a skin.
A hope so paper thin.
I'm at the door again.
And the shine of the midnight revolver.
Even the promise of danger has gone dull.
Staring down the barrel of a .45.
Suck on the barrel, suck on the barrel.
Suck, suck 'til it's dry.
Do all reflections look the same.
In the shine of the midnight revolver?
'Cause you lied.
Yes, you lied.
Just a bullet away.
Just a bullet away from leaving you.
Just a bullet away.
Stop the voices in my head.
"
435,480,"Feel so good, I feel so fine.
Love that little lady, always on my mind.
She gives me love every night and day.
Never going to leave her, never going away.
Someone to love me, you know she makes me feel alright, alright.
Someone to need me, love me every single night, yeah.
Feel so happy since I met that girl.
When we are making love it's something out of this world.
Feels so good to know that she's all mine.
Going to love that woman 'til the end of time, ah.
Someone to live for, I'll love her 'til the end of time.
She makes me feel happy, it's good to know that she's all mine.
I am the world that hides the universal secret of all time.
Destruction of the empty spaces is my one and only crime.
I lived a thousand times, I found out what it means to be believed.
The thoughts and images, the unborn child never was conceived.
You got to believe me, hey, I'm talking to you.
Well, I know it's hard for you to know the reason why.
And I know you'll understand when it's time to die.
I don't believe the life you have will be the only one.
You have to let your body sleep to let your soul live on.
Feel so happy since I met that girl.
When we are making love it's something out of this world.
Feels so good to know that she's all mine.
Going to love that woman 'til the end of time, ah.
Someone to live for, I'll love her 'til the end of time.
She makes me feel happy, it's good to know that she's all mine.
"
436,481,"Free speech, free speech for the dumb.
Free speech, free speech for the dumb.
Free speech, free speech for the dumb.
Free fucking speech.
"
437,482,"I don't wanna go.
Something tells me no.
No, no, no.
But traces in the sand.
The lines that set my hand.
Go, go, go.
Beware of a place.
A smile of a bright shining face.
I'll never return, how do you know?
Tarot woman.
I don't know.
I don't know.
I don't know.
She can take you there.
The entrance to the fair.
Mine, mine, mine.
Ride the carousel.
And cast a magic spell.
Fly, fly, fly.
Beware of a place.
A smile of a bright shining face.
I'll never return, how do you know?
Tarot woman, I don't know.
I don't know.
I don't know.
I don't know.
High noon, oh, I'd sell my soul for water.
Nine years worth of breaking my back.
There's no sun in the shadow of the wizard.
See how he glides, he's lighter than air.
Oh, I see his face.
Where is your star?
Is it far, is it far, is it far?
And when do we leave?
I believe, I believe, yes, I believe.
In the heat and the rain.
With whips and chains.
To see him fly.
So many die.
We build a tower of stone.
With our flesh and bone.
Just to see him fly.
But we don't know why.
Now, where do we go?
Yeah.
Danger, danger, the queen's about to kill.
Stranger, stranger, and life's about to spill.
Oh no, move away from harm.
I need a spell and a charm.
Fly like the wind.
No pawn, be gone, speed on and on.
Kill the king.
Tear him down.
Kill the king.
Yeah, strike him down.
Power, power it happens every day.
Power, devour all along the way.
Oh no, move away from harm.
I need a spell and a charm.
And fly like the wind.
No pawn, be gone, speed on and on.
Kill the king.
Strike him down.
Treason, treason, the spectre looms again.
Treason, reason, the realm is safe and then.
Oh no, move away from harm.
I need a spell and a charm.
Fly like the rainbow.
No pawn, be gone, speed on and on.
Kill the king.
Yeah, tear him down.
Kill the king.
Yeah, take his crown.
Oh, kill the king.
Go take his crown.
Yeah, yeah.
Kill the king.
Strike him down.
"
438,483,"I look at you, then you me.
Hungry and thirsty are we.
Holding the lion's share.
Holding the key.
Holding me back because I'm striving to be.
Better than you.
Better than you.
Better than you.
Better than you.
Lock horns, I push and I strive.
Some how I feel more alive.
Bury the need for it.
Bury the seed.
Bury me deep when there's no will to be.
Better than you.
Better than you.
Better than you.
Better than you.
Oh, can't stop this train from rolling.
Oh, nothing brings me down.
No, can't stop this train from rolling, no, no, no, no, no.
No, no, forever only no.
Oh, can't stop this train from rolling.
Oh, you can't take it down.
No, never stop this locomotion, no, no, no, no, no, no.
No, you can't bring it down because I'm.
Better than you.
Better than you.
Better than you.
Better than you.
Better than you.
Better than you.
Better than you.
Better than you.
Can't stop this train from rolling.
Forever on and on and on.
Forever on and on, on.
Better than you.
Yeah.
Better than you.
"
439,484,"Yeah yeah.
Yeah yeah.
Oh.
Bad.
Yeah.
Come clean, confess up.
Tell all, spill gut.
Off the veil, stand revealed.
Show the cards.
Bring it on.
Break the seal.
(Ladies and Gentleman, step right up and.
See the man who told the truth).
Swing the noose again.
Pierce the apple skin.
You bit more than you need.
Now you're choking.
On a bad seed.
On a bad seed.
Ahh choking.
Let on, load off.
Confess, cast off.
At the mercy, the cat is out.
Drop the disguise.
Spit it up.
Spit it out.
(And now, what you've all been waiting for.
I give you He Who Suffers The Truth).
Swing the noose again.
Pierce the apple skin.
You bit more than you need.
Now you're choking.
On a bad seed.
Choking on a bad seed.
Off the veil.
Stand revealed.
Bring it on.
Break the Seal.
At the mercy.
Cat is out.
Spit it up.
Spit it out.
Spit it up.
Spit it out.
Spit it out now!
At the mercy.
(Swing the noose again, Pierce the apple skin, you bit more than you need, choking on the seed).
Swing the noose again.
Pierce the apple skin.
You bit more than you need.
Now you're choking.
On a.
Choking, choking, choking on a bad seed.
Off the veil.
Stand revealed.
Bring it on.
Break the Seal.
At the mercy.
Cat is out.
Spit it up.
Spit it out.
Spit it up.
Spit it out.
Spit it out now!
Choking on a bad, bad, bad, bad, bad, bad, seed.
"
440,485,"Tear it down.
Strip the layers off.
My turpentine.
Old paint, old looks.
Cover up the past.
White heat, white light.
Super white bones.
Bones of you and I.
Pure if I (Can't you help me?).
Pure if I (Won't you help me?).
Purify, you and I.
Purify, you and I.
Pure if I (Can't you help me?).
Pure if I (Won't you help me?).
You and I, purify.
You and I, purify.
Purify!
Truth and dare.
Peeling back the skin.
Acid wash.
Ghost white.
Ultra clean.
Wanna be skeleton.
Clear eyes, diamond eyes.
Strip the past of mine.
My sweet turpentine.
Pure if I (Can't you help me?).
Pure if I (Won't you help me?).
Purify, you and I.
Purify, you and I.
Pure if I (Can't you help me?).
Pure if I (Won't you help me?).
You and I, purify.
You and I, purify.
Oh, purify!
I can find the dirt on anything.
I can find the dirt on anything.
I ain't dancing with your skeletons.
I, I ain't dancing with what might have been.
Pure if I (Can't you help me?).
Pure if I (Won't you help me?).
Purify, you and I.
Purify, you and I.
Pure if I (Can't you help me?).
Pure if I (Why won't you help me?).
You and I, purify.
You and I, purify.
Come on, purify.
"
441,486,"Hate is a train.
That thunders aimless through my head.
And hate is the fame.
Chained to the wheel until I am dead.
Rage is a flame.
Creates a touch to boil the seas.
And rage is to blame.
Forever sorry I shall be.
And from a darkness I descend.
Clenching a torch of sweet revenge, no.
You took away tomorrow, still I stand.
I ride into the sorrow, still I stand.
You took away tomorrow, still I stand.
Straight down into the sorrow, but still I stand.
Wrath is the name.
Branding suffer onto you.
And wrath takes the shame.
And holds me down until it's through.
And from a darkness I descend.
Clenching a torch of sweet revenge.
You took away tomorrow, still I stand.
I ride into the sorrow, still I stand.
You took away tomorrow, still I stand.
I sink into the sorrow, but still I stand.
And hate is a train.
That hungers for the flesh's call.
And hate takes the blame.
A beast that never slows at all.
And from a darkness I descend.
Clenching a torch of sweet revenge.
Burst into flame, the bitter end.
And shake these gates of hell again.
Yeah, cursed to drown in sorrow.
You took away tomorrow, still I stand.
I ride into the sorrow, still I stand.
You took away tomorrow, still I stand.
Left me here in sorrow, but still I stand.
Still I stand.
"
442,488,"Oh, poor twisted me.
Oh, poor twisted me.
I feast on sympathy.
I chew on suffer, I chew on agony.
Swallow whole the pain.
Oh, it's too good to be.
That all this misery.
Is just for, oh, poor twisted me.
Poor twisted me.
Poor mistreated me.
Poor mistreated me.
I drown without a sea.
Lungs fill with sorrow.
Lungs fill with misery.
Inhaling the deep, dark blue.
Oh, woe is me.
Such a burden to be.
The poor mistreated me.
To finally reach the shore, survive the storm.
Now you're bare and cold, the sea was warm.
So warm, you bathe your soul again.
Baby, again, and again, and again.
You finally reached the shore, survived the storm.
Now you're bare and cold, the sea was warm.
So warm, you bathe your soul again.
Good to feel my friend.
Oh, woe is me.
Such a burden to be.
Oh, poor twisted me.
Yo, poor twisted me.
"
443,489,"Don't go looking for snakes you might find them.
Don't send your eyes to the sun you might blind them.
Haven't I seen you here before?
Ohh, watch the puppets dancing.
Yeah, see the clowns fall down.
Hey, tie your tap shoes tightly.
Yeah, and wear them into town.
See you crawling.
See you crawling in.
Don't go looking for snakes you might find them.
Don't send your eyes to the sun you might blind them.
Haven't I seen you here before?
There ain't no heroes here no more.
Hey hey hey.
Ooh, play the game so nicely.
Oh, check, its your move now.
Yeah, we are standing in this jungle.
Yeah, with serpents I have found.
See you crawling.
See you crawling in.
Don't go looking for snakes you might find them.
Don't send your eyes to the sun you might blind them.
Haven't I seen you here before?
Then your heroes disappeared.
See you crawling.
See you crawling in.
Don't go looking for snakes you might find them.
Don't send your eyes to the sun you might blind them.
Haven't I seen you here before?
No there ain't no heroes here no more.
Haven't I seen you here before?
There ain't no heroes here, looking for snakes you might find them.
Haven't I seen you before?
Then your heroes disappeared.
Don't send your eyes to the sun you might blind them, yeah.
"
444,490,"1, 2, 3, 4.
Motives changing, day to day.
The fire increases, masks decay.
I look at the river, white foam floats down.
The body's poisoned, got to sit tight.
The wait.
The wait.
The wait.
The wait.
After wakening, silence grows.
The screams subside, distortion shows.
Mutant thoughts of bad mouthed news.
Is just another birth of distorted views.
The wait.
The wait.
The wait.
The wait.
The wait.
The wait.
The wait.
The wait.
"
445,491,"Suppose I say.
I'm never satisfied.
Suppose I say.
You cut some root.
To make the tree survive.
Just let me kill you for a while.
Just let me kill you for a smile.
Just let me kill you once.
I'm oh so bored to death.
Yeah, I hunger.
Oh, I hunger.
I hunger.
I eat.
Born into attitude.
Asleep at the wheel.
Throw all your bullets in the fire.
And run like hell.
Why cure the fever?
Whatever happened to sweat?
Suppose I say.
The vultures smile at me.
Suppose I say.
I've sent them down.
And they plan to pick you clean.
And satisfaction this way comes.
And satisfaction this way comes.
And satisfaction's here and gone, gone.
Yeah, gone again.
Oh, I hunger.
I hunger.
I eat.
Born into attitude.
Asleep at the wheel.
Throw all your bullets in the fire.
And run like hell.
Why cure the fever?
What ever happened to sweat?
Oh, I hunger.
I hunger.
I eat.
Born into attitude.
Asleep at the wheel.
Throw all your bullets in the fire.
And run like hell.
Why cure the fever?
Whatever happened to sweat?
Just let me kill you for a while.
Just let me kill you for a smile.
Just let me kill you once for me.
I'm bored to death.
And satisfaction this way comes.
And satisfaction this way comes.
And satisfaction's here and gone, gone.
Yeah, gone again.
Yeah, I hunger.
Oh, I hunger.
I hunger.
I eat.
Born into attitude.
Asleep at the wheel.
Throw all your bullets in the fire.
And run like hell.
Why cure the fever?
Whatever happened to sweat?
Yeah, I hunger.
Oh, I hunger.
I hunger.
I eat.
Born into attitude.
Asleep at the wheel.
Throw all your bullets in the fire.
And run like hell.
Why cure the fever?
Whatever happened to sweat?
"
446,492,"Rebel, grip your bottle tight.
Just float away.
Rebel, is it hard to leave.
What makes you stay?
Go take your poison ink.
Sign life away.
Then take your dirty spoon.
And dig your grave.
Dig your grave.
Rebel grips the bottle tight.
Just floats away.
Rebel finds it hard to leave.
What makes you stay?
He takes the poison ink.
Signing life away.
Then takes the dirty spoon.
And digs his grave.
Let this dark shine.
Let this dark shine.
Let it shine bright.
Don't let it burn out tonight.
Kill me one more time.
Stigmata.
Kill me one more time.
Neo martyr.
Going to die young.
Going to live forever.
Kill me one more time.
Rise up.
Rebel of Babylon.
Rise up.
Rise up.
Resurrection.
Renegade fights the fight.
That no one wins.
He claims a crown of thorns.
To pierce the skin.
He climbs his crucifix.
And waits for dawn.
Thinks they'll remember him.
After he's gone.
Let this dark shine.
Let this dark shine.
Let it shine bright.
Don't let it burn out tonight.
Kill me one more time.
Stigmata.
Kill me one more time.
Neo martyr.
Going to die young.
Going to live forever.
Kill me one more time.
Rise up.
Rebel of Babylon.
Rise up.
Rise up.
Resurrection.
This rebel fights the fight.
That no one wins.
To claim a crown of thorns.
To pierce his skin.
Climbs his crucifix.
And waits for dawn.
He loses consciousness.
The myth lives on.
Let this dark shine.
Let this dark shine.
Let it shine bright.
Don't let it burn out tonight.
Tonight.
Kill me one more time.
Stigmata.
Kill me one more time.
Neo martyr.
Going to die young.
Going to live forever.
Kill me one more time.
Rise up.
Rebel of Babylon.
Rise up.
Rise up.
Resurrection.
"
